Station,district,latitude,longitude,avg_rain,max_24h,heavy_rate,extreme_rate,rain_freq,risk_score,risk_label,risk_level
Karur,Karur,10.91777778,78.09361111,3.751604621309371,692.5,0.07445442875481387,0.01668806161745828,0.3722721437740693,0.4227586206896552,1,Moderate
Bavanisagar Dam,Erode,11.47333333,77.13027778,3.5227552275522753,342.0,0.07872078720787208,0.013530135301353014,0.4354243542435424,0.4186206896551724,1,Moderate
Valathi,Viluppuram,12.34861111,79.38,3.5636998254799304,303.5,0.07853403141361257,0.012216404886561954,0.44153577661431065,0.4182758620689655,1,Moderate
Srivilliputhur_1,Virudhunagar,9.516111,77.633611,3.2941176470588234,226.5,0.0784313725490196,0.0196078431372549,0.4007352941176471,0.4175862068965517,1,Moderate
Thoothukudi Circuit House,Thoothukudi,8.79111111,78.15916667,3.6550888529886914,318.5,0.07431340872374798,0.014539579967689823,0.4297253634894992,0.41206896551724137,1,Moderate
VaigaiDam,Theni,10.05194,77.58916,3.336795252225519,250.5,0.08753709198813056,0.008902077151335312,0.4762611275964392,0.4106896551724138,1,Moderate
Aralvaimozhi,Kanyakumari,8.24722222,77.545,3.783613445378151,1249.5,0.05714285714285714,0.010924369747899159,0.4831932773109244,0.4089655172413793,1,Moderate
Perunchani Reservoir,Kanyakumari,8.36361111,77.3575,3.418866080156403,287.5,0.07380254154447703,0.010752688172043012,0.49902248289345064,0.40551724137931033,1,Moderate
Sivagangai,Sivaganga,9.85416667,78.48861111,3.4605621033544876,388.5,0.07615593834995467,0.015412511332728921,0.40888485947416137,0.3989655172413793,0,Low
Vellore,Vellore,12.94861111,79.13888889,3.2366997294860234,188.0,0.07123534715960325,0.010820559062218215,0.4905320108205591,0.37482758620689655,0,Low
Kalingarayan -ARG,Erode,11.441389,77.676111,3.223826714801444,244.5,0.08664259927797834,0.010830324909747292,0.3989169675090253,0.3693103448275862,0,Low
Karisalkulam_1,Thoothukudi,9.35,78.058333,3.2199471598414795,243.5,0.08718626155878467,0.0066050198150594455,0.4676354029062087,0.36793103448275866,0,Low
Kadambur_1,Thoothukudi,8.992778,77.858889,3.2054655870445345,287.5,0.08198380566801619,0.011133603238866396,0.395748987854251,0.3444827586206896,0,Low
Vilathikulam,Thoothukudi,9.13027778,78.16805556,3.3681592039800994,786.5,0.0626865671641791,0.011940298507462687,0.4388059701492537,0.3403448275862069,0,Low
Nanguneri,Tirunelveli,8.48,77.66388889,3.1501787842669846,365.5,0.07508939213349225,0.010727056019070322,0.4362336114421931,0.31931034482758625,0,Low
Hosur,Krishnagiri,12.72722222,77.82777778,3.1262626262626263,233.5,0.07856341189674523,0.007856341189674524,0.45342312008978675,0.31413793103448273,0,Low
Kurungulam,Thanjavur,10.65638889,79.09805556,3.1434169278996866,166.0,0.07366771159874608,0.009404388714733543,0.45297805642633227,0.3,0,Low
Koradachery,Tiruvarur,10.77361111,79.48916667,3.1337299534402483,514.0,0.08122090015519917,0.00982928091050181,0.35333678220382825,0.29482758620689653,0,Low
Poondi Reservoir,Tiruvallur,13.20833333,79.87583333,3.075383589059373,1039.5,0.061374249499666446,0.01467645096731154,0.3295530353569046,0.273103448275862,0,Low
Kallakurichi,Kallakurichi,11.74111111,78.96416667,3.1037735849056602,574.0,0.06334231805929919,0.013477088948787063,0.33423180592991913,0.27,0,Low
Upper Anicut,Tiruchirappalli,10.88861111,78.57861111,2.8125,170.0,0.06460674157303371,0.011235955056179775,0.39325842696629215,0.26,0,Low
ParamathiVelor,Namakkal,11.133056,78.018889,3.0667701863354035,200.5,0.062111801242236024,0.009316770186335404,0.4409937888198758,0.25206896551724134,0,Low
Anaikidangu,Kanyakumari,8.2347,77.377894,3.3561111111111113,1764.0,0.059444444444444446,0.010555555555555556,0.3238888888888889,0.24655172413793103,0,Low
Yelagiri Hills,Tirupathur,12.58388889,78.64805556,3.2107750472589793,670.0,0.062381852551984876,0.00945179584120983,0.3724007561436673,0.24517241379310348,0,Low
ManjalarDam,Theni,10.189722,77.632222,2.76904296875,201.0,0.0673828125,0.0107421875,0.375,0.2393103448275862,0,Low
Uppar Dam,Tiruppur,10.7775,76.42277778,3.1800947867298577,318.5,0.06003159557661927,0.004739336492890996,0.4518167456556082,0.23482758620689656,0,Low
